ID,Тип,Артикул,Имя,Опубликован,Рекомендуемый?,Видимость в каталоге,Краткое описание,Описание,Дата начала действия скидки,Дата окончания действия скидки,Статус налога,Налоговый класс,Наличие,Запасы,Статус налога,Величина малых запасов,Возможен ли предзаказ?,Продано индивидуально?,Вес (кг),Длина (см),Ширина (см),Высота (см),Разрешить отзывы от клиентов?,Примечание к покупке,Акционная цена,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит загрузок,Дней срока загрузки,Родительский,Сгруппированные товары,Апсэлы,Кросселы,Внешний URL,Текст кнопки,Позиция,Мета: _input_qty,Мета: _step_qty,Мета: rs_page_bg_color,Мета: _yoast_wpseo_primary_product_cat,Мета: _yoast_wpseo_metadesc,Мета: _yoast_wpseo_content_score,Мета: _yoast_wpseo_estimated-reading-time-minutes,Мета: _yoast_wpseo_wordproof_timestamp
,simple,,"Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17)",1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,7.9,,,,,,,1738,Металлопрокат > Лист нержавеющий,Лист нержавеющий,,,,,,,,,,,,,,,,"Купить лист нержавеющий 0,5х1000х2000 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,"Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17)",1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,12.6,,,,,,,2646,Металлопрокат > Лист нержавеющий,Лист нержавеющий,,,,,,,,,,,,,,,,"Купить лист нержавеющий 0,8х1000х2000 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Лист нержавеющий 1х1250х2500 AISI 430 (12х17),1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 1х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 1х1250х2500 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 1х1250х2500 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 1х1250х2500 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 1х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,25,,,,,,,5250,Металлопрокат > Лист нержавеющий,Лист нержавеющий,,,,,,,,,,,,,,,,"Купить лист нержавеющий 1х1250х2500 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,"Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17)",1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,37.5,,,,,,,7875,Металлопрокат > Лист нержавеющий,Лист нержавеющий,,,,,,,,,,,,,,,,"Купить лист нержавеющий 1,5х1250х2500 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Лист нержавеющий 2х1000х2000 AISI 430 (12х17),1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 2х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 2х1000х2000 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 2х1000х2000 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 2х1000х2000 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 2х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,32,,,,,,,6720,Металлопрокат > Лист нержавеющий,Лист нержавеющий,,,,,,,,,,,,,,,,"Купить лист нержавеющий 2х1000х2000 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Лист нержавеющий 2х1250х2500 AISI 430 (12х17),1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 2х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 2х1250х2500 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 2х1250х2500 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 2х1250х2500 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 2х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,50,,,,,,,10500,Металлопрокат > Лист нержавеющий,Лист нержавеющий,,,,,,,,,,,,,,,,"Купить лист нержавеющий 2х1250х2500 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Лист нержавеющий 3х1250х2500 AISI 430 (12х17),1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 3х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 3х1250х2500 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 3х1250х2500 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 3х1250х2500 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 3х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,74,,,,,,,15540,Металлопрокат > Лист нержавеющий,Лист нержавеющий,,,,,,,,,,,,,,,,"Купить лист нержавеющий 3х1250х2500 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10),1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10): идеальный выбор для различных применений \n\n Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,25,,,,,,,8950,Металлопрокат > Лист нержавеющий,Лист нержавеющий,,,,,,,,,,,,,,,,"Купить лист нержавеющий 1х1250х2500 AISI 304 (08х18н10) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,"Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10)",1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10): идеальный выбор для различных применений \n\n Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,38,,,,,,,13528,Металлопрокат > Лист нержавеющий,Лист нержавеющий,,,,,,,,,,,,,,,,"Купить лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10),1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10): идеальный выбор для различных применений \n\n Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,50,,,,,,,18000,Металлопрокат > Лист нержавеющий,Лист нержавеющий,,,,,,,,,,,,,,,,"Купить лист нержавеющий 2х1250х2500 AISI 304 (08х18н10) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
