ID,Тип,Артикул,Имя,Опубликован,Рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия скидки","Дата окончания действия скидки","Статус налога","Налоговый класс",Наличие,Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (кг)","Длина (см)","Ширина (см)","Высота (см)","Разрешить отзывы от клиентов?","Примечание к покупке","Акционная цена","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Дней срока загрузки",Родительский,"Сгруппированные товары",Апсэлы,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: _input_qty","Мета: _step_qty","Мета: rs_page_bg_color","Мета: _yoast_wpseo_primary_product_cat","Мета: _yoast_wpseo_metadesc","Мета: _yoast_wpseo_content_score","Мета: _yoast_wpseo_estimated-reading-time-minutes","Мета: _yoast_wpseo_wordproof_timestamp"
13818,simple,,"Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17)",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,7.9,,,,0,,,1738,"Металлопрокат > Лист нержавеющий","Лист нержавеющий",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_aisi.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Лист нержавеющий 0,5х1000х2000 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13819,simple,,"Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17)",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,12.6,,,,0,,,2646,"Металлопрокат > Лист нержавеющий","Лист нержавеющий",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_aisi.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Лист нержавеющий 0,8х1000х2000 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13820,simple,,"Лист нержавеющий 1х1250х2500 AISI 430 (12х17)",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 1х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 1х1250х2500 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 1х1250х2500 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 1х1250х2500 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 1х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,25,,,,0,,,5250,"Металлопрокат > Лист нержавеющий","Лист нержавеющий",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_aisi.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Лист нержавеющий 1х1250х2500 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13821,simple,,"Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17)",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,37.5,,,,0,,,7875,"Металлопрокат > Лист нержавеющий","Лист нержавеющий",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_aisi.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Лист нержавеющий 1,5х1250х2500 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13822,simple,,"Лист нержавеющий 2х1000х2000 AISI 430 (12х17)",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 2х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 2х1000х2000 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 2х1000х2000 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 2х1000х2000 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 2х1000х2000 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,32,,,,0,,,6720,"Металлопрокат > Лист нержавеющий","Лист нержавеющий",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_aisi.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Лист нержавеющий 2х1000х2000 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13823,simple,,"Лист нержавеющий 2х1250х2500 AISI 430 (12х17)",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 2х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 2х1250х2500 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 2х1250х2500 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 2х1250х2500 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 2х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,50,,,,0,,,10500,"Металлопрокат > Лист нержавеющий","Лист нержавеющий",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_aisi.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Лист нержавеющий 2х1250х2500 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13824,simple,,"Лист нержавеющий 3х1250х2500 AISI 430 (12х17)",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 3х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 3х1250х2500 AISI 430 (12х17), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 3х1250х2500 AISI 430 (12х17): идеальный выбор для различных применений \n\n Лист нержавеющий 3х1250х2500 AISI 430 (12х17) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 3х1250х2500 AISI 430 (12х17) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,74,,,,0,,,15540,"Металлопрокат > Лист нержавеющий","Лист нержавеющий",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_aisi.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Лист нержавеющий 3х1250х2500 AISI 430 (12х17) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13825,simple,,"Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10)",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10): идеальный выбор для различных применений \n\n Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,25,,,,0,,,8950,"Металлопрокат > Лист нержавеющий","Лист нержавеющий",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_aisi_304.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Лист нержавеющий 1х1250х2500 AISI 304 (08х18н10) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13826,simple,,"Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10)",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10): идеальный выбор для различных применений \n\n Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,38,,,,0,,,13528,"Металлопрокат > Лист нержавеющий","Лист нержавеющий",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_aisi_304.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Лист нержавеющий 1,5х1250х2500 AISI 304 (08х18н10) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13827,simple,,"Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10)",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10), который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10): идеальный выбор для различных применений \n\n Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10) благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10) в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист нержавеющий для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,50,,,,0,,,18000,"Металлопрокат > Лист нержавеющий","Лист нержавеющий",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_aisi_304.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Лист нержавеющий 2х1250х2500 AISI 304 (08х18н10) в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
